Country,Year,GDPCAP
Australia,1990,31058.25967
Australia,1991,30542.91971
Australia,1992,30298.92902
Australia,1993,31213.07985
Australia,1994,32114.83084
Australia,1995,32946.90067
Australia,1996,33778.06354
Australia,1997,34727.19978
Australia,1998,35940.01714
Australia,1999,37334.47523
Australia,2000,38343.00215
Australia,2001,38559.90419
Australia,2002,39616.3361
Australia,2003,40298.88605
Australia,2004,41449.84195
Australia,2005,42217.13635
Australia,2006,42761.40561
Australia,2007,44128.72709
Australia,2008,44835.36141
Australia,2009,44771.48421
Australia,2010,44991.78371
Australia,2011,45463.682
Australia,2012,46427.3682
Australia,2013,46814.74151
Australia,2014,47289.96461
Australia,2015,47636.31964
Australia,2016,48197.43119
Australia,2017,48482.64746
Australia,2018,49151.68871
Australia,2019,49455.53851
Australia,2020,48697.83703
Luxembourg,1990,67641.5636
Luxembourg,1991,72510.67822
Luxembourg,1992,72855.88763
Luxembourg,1993,74904.0256
Luxembourg,1994,76714.1769
Luxembourg,1995,76727.44884
Luxembourg,1996,76741.05908
Luxembourg,1997,80112.22614
Luxembourg,1998,83904.5498
Luxembourg,1999,89799.41699
Luxembourg,2000,95901.0204
Luxembourg,2001,97165.58374
Luxembourg,2002,99825.46358
Luxembourg,2003,100226.5215
Luxembourg,2004,102381.313
Luxembourg,2005,104025.4159
Luxembourg,2006,107681.0167
Luxembourg,2007,114889.18
Luxembourg,2008,111409.7238
Luxembourg,2009,104598.8319
Luxembourg,2010,107703.4539
Luxembourg,2011,108010.7086
Luxembourg,2012,105075.9611
Luxembourg,2013,106427.4563
Luxembourg,2014,108414.7519
Luxembourg,2015,110446.0861
Luxembourg,2016,113035.8347
Luxembourg,2017,112308.1738
Luxembourg,2018,113589.6705
Luxembourg,2019,113940.2374
Luxembourg,2020,110261.1574
Norway,1990,42136.61626
Norway,1991,43229.92976
Norway,1992,44517.44955
Norway,1993,45512.40436
Norway,1994,47541.78149
Norway,1995,49260.98483
Norway,1996,51476.21521
Norway,1997,53903.45457
Norway,1998,54989.71982
Norway,1999,55713.7732
Norway,2000,57127.39975
Norway,2001,58018.32946
Norway,2002,58540.86364
Norway,2003,58728.17524
Norway,2004,60699.58545
Norway,2005,61870.38379
Norway,2006,62846.95821
Norway,2007,64062.43691
Norway,2008,63570.36124
Norway,2009,61689.57772
Norway,2010,61353.49639
Norway,2011,61157.14893
Norway,2012,61990.71162
Norway,2013,61878.99441
Norway,2014,62390.1497
Norway,2015,62987.53586
Norway,2016,63104.10039
Norway,2017,64050.75617
Norway,2018,64341.2589
Norway,2019,64452.81262
Norway,2020,63585.90351
Switzerland,1990,56329.21565
Switzerland,1991,55120.11476
Switzerland,1992,54491.90035
Switzerland,1993,53929.85852
Switzerland,1994,54181.00257
Switzerland,1995,54078.95231
Switzerland,1996,54106.57086
Switzerland,1997,55201.20477
Switzerland,1998,56724.50517
Switzerland,1999,57440.05357
Switzerland,2000,59389.42406
Switzerland,2001,59944.77692
Switzerland,2002,59489.74806
Switzerland,2003,59022.35241
Switzerland,2004,60271.93241
Switzerland,2005,61613.39105
Switzerland,2006,63686.24824
Switzerland,2007,65641.71061
Switzerland,2008,66598.85937
Switzerland,2009,64404.07986
Switzerland,2010,65819.73725
Switzerland,2011,66342.01082
Switzerland,2012,66440.28702
Switzerland,2013,66877.16305
Switzerland,2014,67682.68618
Switzerland,2015,68025.92004
Switzerland,2016,68663.24382
Switzerland,2017,69103.57026
Switzerland,2018,70663.4876
Switzerland,2019,70920.32473
Switzerland,2020,68393.306
America,1990,40411.16034
America,1991,39831.58569
America,1992,40666.70058
America,1993,41238.78261
America,1994,42377.35551
America,1995,42999.78871
America,1996,44105.82746
America,1997,45516.00233
America,1998,47004.61413
America,1999,48676.65902
America,2000,50124.89118
America,2001,50126.72022
America,2002,50528.78858
America,2003,51529.7264
America,2004,52994.55196
America,2005,54353.06858
America,2006,55368.35972
America,2007,55873.24474
America,2008,55271.65747
America,2009,53399.36563
America,2010,54315.91248
America,2011,54758.83327
America,2012,55581.41384
America,2013,56214.42868
America,2014,57213.26784
America,2015,58540.29609
America,2016,59112.24221
America,2017,60109.65573
America,2018,61585.75604
America,2019,62630.87328
America,2020,60235.72849
